current_epoch	train_acc	train_loss	epoch_train_time
0.0000	0.3901	2.1510	0.2912
1.0000	0.6733	1.6014	0.2772
2.0000	0.7683	1.0965	0.2702
3.0000	0.8171	0.8258	0.2752
4.0000	0.8420	0.6805	0.2802
5.0000	0.8563	0.5914	0.3172
6.0000	0.8713	0.5220	0.2862
7.0000	0.8749	0.4933	0.2782
8.0000	0.8817	0.4616	0.2732
9.0000	0.8828	0.4405	0.2712
10.0000	0.8927	0.4099	0.2782
11.0000	0.8897	0.4093	0.3162
12.0000	0.8944	0.3833	0.3382
13.0000	0.8958	0.3818	0.3633
0.0000	0.3829	2.1648	0.2722
1.0000	0.6593	1.6318	0.2732
2.0000	0.7628	1.1111	0.2712
3.0000	0.8105	0.8338	0.2852
4.0000	0.8379	0.6856	0.2752
5.0000	0.8549	0.5972	0.2872
6.0000	0.8693	0.5274	0.3242
7.0000	0.8737	0.4970	0.3522
8.0000	0.8794	0.4646	0.3292
9.0000	0.8822	0.4441	0.3352
10.0000	0.8911	0.4128	0.3262
11.0000	0.8889	0.4106	0.3282
12.0000	0.8939	0.3840	0.3342
13.0000	0.8949	0.3822	0.3042
14.0000	0.8993	0.3662	0.3242
15.0000	0.8990	0.3550	0.3192
16.0000	0.9015	0.3569	0.2942
17.0000	0.9072	0.3402	0.2782
18.0000	0.8993	0.3506	0.2802
19.0000	0.9036	0.3385	0.2902
20.0000	0.9066	0.3382	0.2892
21.0000	0.9143	0.3148	0.2732
22.0000	0.9121	0.3070	0.2682
23.0000	0.9093	0.3136	0.2742
24.0000	0.9118	0.3076	0.2722
25.0000	0.9152	0.3040	0.2842
26.0000	0.9144	0.3018	0.2732
27.0000	0.9172	0.2905	0.2742
28.0000	0.9172	0.2923	0.2762
29.0000	0.9157	0.2946	0.4043
30.0000	0.9104	0.3049	0.3272
31.0000	0.9189	0.2796	0.3262
32.0000	0.9150	0.2910	0.3242
33.0000	0.9178	0.2817	0.3242
34.0000	0.9219	0.2772	0.3182
35.0000	0.9192	0.2732	0.3362
36.0000	0.9259	0.2581	0.3072
37.0000	0.9221	0.2757	0.2942
38.0000	0.9227	0.2744	0.2922
39.0000	0.9228	0.2666	0.2742
40.0000	0.9214	0.2685	0.2702
41.0000	0.9335	0.2444	0.2692
42.0000	0.9261	0.2476	0.2722
43.0000	0.9263	0.2559	0.2722
44.0000	0.9268	0.2508	0.2822
45.0000	0.9274	0.2470	0.2762
46.0000	0.9299	0.2464	0.2722
47.0000	0.9267	0.2571	0.2702
48.0000	0.9328	0.2450	0.3312
49.0000	0.9293	0.2441	0.3492
0.0000	0.3826	2.1588	0.2812
1.0000	0.6644	1.6264	0.2892
2.0000	0.7701	1.1039	0.2742
3.0000	0.8194	0.8234	0.2672
4.0000	0.8450	0.6771	0.2732
5.0000	0.8587	0.5884	0.2762
6.0000	0.8711	0.5203	0.2712
7.0000	0.8756	0.4925	0.2752
8.0000	0.8807	0.4616	0.2902
9.0000	0.8826	0.4407	0.2712
10.0000	0.8925	0.4098	0.2762
11.0000	0.8886	0.4104	0.2822
12.0000	0.8945	0.3831	0.3542
13.0000	0.8959	0.3824	0.4233
14.0000	0.8989	0.3663	0.3272
15.0000	0.8988	0.3546	0.3292
16.0000	0.9014	0.3569	0.3362
17.0000	0.9061	0.3402	0.3072
18.0000	0.8985	0.3521	0.3342
19.0000	0.9036	0.3396	0.3052
20.0000	0.9048	0.3390	0.2942
21.0000	0.9134	0.3161	0.2802
22.0000	0.9105	0.3090	0.2772
23.0000	0.9095	0.3153	0.2772
24.0000	0.9120	0.3092	0.2712
25.0000	0.9144	0.3068	0.2722
26.0000	0.9140	0.3037	0.2732
27.0000	0.9162	0.2922	0.2702
28.0000	0.9153	0.2946	0.2802
29.0000	0.9146	0.2975	0.2732
30.0000	0.9100	0.3080	0.3012
31.0000	0.9179	0.2824	0.3533
32.0000	0.9137	0.2938	0.3683
33.0000	0.9171	0.2858	0.3502
34.0000	0.9210	0.2809	0.3362
35.0000	0.9199	0.2749	0.3442
36.0000	0.9254	0.2616	0.3442
37.0000	0.9214	0.2795	0.3022
38.0000	0.9217	0.2776	0.2992
39.0000	0.9231	0.2709	0.2782
40.0000	0.9216	0.2725	0.2772
41.0000	0.9331	0.2470	0.2762
42.0000	0.9256	0.2515	0.2892
43.0000	0.9259	0.2594	0.2742
44.0000	0.9259	0.2541	0.2742
45.0000	0.9261	0.2521	0.2892
46.0000	0.9286	0.2498	0.2772
0.0000	0.3703	2.1673	0.3152
1.0000	0.6538	1.6378	0.3282
2.0000	0.7621	1.1208	0.3282
3.0000	0.8156	0.8412	0.3252
4.0000	0.8417	0.6908	0.3192
5.0000	0.8560	0.5990	0.3292
6.0000	0.8691	0.5280	0.2862
7.0000	0.8747	0.4978	0.2902
8.0000	0.8803	0.4667	0.2702
9.0000	0.8805	0.4449	0.2662
10.0000	0.8911	0.4142	0.2642
11.0000	0.8880	0.4127	0.2672
12.0000	0.8939	0.3865	0.2712
13.0000	0.8950	0.3839	0.2612
14.0000	0.8980	0.3685	0.2622
15.0000	0.8977	0.3570	0.3042
16.0000	0.8997	0.3599	0.2602
17.0000	0.9069	0.3422	0.2652
18.0000	0.8993	0.3530	0.2732
19.0000	0.9024	0.3417	0.3462
20.0000	0.9049	0.3405	0.3282
21.0000	0.9130	0.3179	0.3292
22.0000	0.9111	0.3100	0.3272
23.0000	0.9086	0.3161	0.3252
24.0000	0.9103	0.3099	0.3232
25.0000	0.9125	0.3077	0.3723
26.0000	0.9146	0.3048	0.3613
27.0000	0.9159	0.2936	0.3362
28.0000	0.9156	0.2952	0.2832
29.0000	0.9162	0.2973	0.2652
30.0000	0.9091	0.3086	0.2672
31.0000	0.9176	0.2829	0.2842
32.0000	0.9142	0.2948	0.2642
33.0000	0.9177	0.2863	0.2712
34.0000	0.9202	0.2817	0.2672
35.0000	0.9198	0.2762	0.2642
36.0000	0.9253	0.2614	0.2682
37.0000	0.9187	0.2804	0.2942
38.0000	0.9213	0.2789	0.3242
39.0000	0.9211	0.2710	0.3282
40.0000	0.9210	0.2732	0.3252
41.0000	0.9303	0.2484	0.4013
42.0000	0.9250	0.2526	0.4043
43.0000	0.9246	0.2608	0.3653
44.0000	0.9263	0.2539	0.2992
45.0000	0.9253	0.2511	0.2902
46.0000	0.9275	0.2505	0.3172
47.0000	0.9241	0.2620	0.3362
48.0000	0.9313	0.2487	0.3312
49.0000	0.9276	0.2469	0.2882
0.0000	0.3860	2.1482	0.3132
1.0000	0.6749	1.5938	0.3392
2.0000	0.7704	1.0913	0.3252
3.0000	0.8194	0.8223	0.3452
4.0000	0.8427	0.6796	0.3432
5.0000	0.8560	0.5917	0.2952
6.0000	0.8696	0.5235	0.3352
7.0000	0.8743	0.4955	0.3092
8.0000	0.8810	0.4640	0.2902
9.0000	0.8815	0.4447	0.2762
10.0000	0.8918	0.4132	0.2762
11.0000	0.8889	0.4121	0.2812
12.0000	0.8947	0.3855	0.2652
13.0000	0.8941	0.3827	0.2692
14.0000	0.8986	0.3682	0.2742
15.0000	0.8985	0.3565	0.2712
16.0000	0.9014	0.3581	0.2662
17.0000	0.9067	0.3420	0.3012
18.0000	0.8993	0.3525	0.2712
19.0000	0.9034	0.3406	0.2682
20.0000	0.9047	0.3404	0.2712
21.0000	0.9136	0.3179	0.3212
22.0000	0.9115	0.3096	0.3322
23.0000	0.9101	0.3156	0.3573
24.0000	0.9108	0.3098	0.3512
25.0000	0.9122	0.3068	0.3492
26.0000	0.9133	0.3044	0.3452
27.0000	0.9160	0.2926	0.3102
28.0000	0.9155	0.2947	0.2862
29.0000	0.9155	0.2976	0.2822
30.0000	0.9090	0.3084	0.2682
31.0000	0.9170	0.2827	0.2682
32.0000	0.9150	0.2941	0.2672
33.0000	0.9193	0.2843	0.2982
34.0000	0.9206	0.2804	0.2662
35.0000	0.9190	0.2748	0.2662
36.0000	0.9255	0.2612	0.2692
37.0000	0.9208	0.2789	0.2632
38.0000	0.9208	0.2772	0.3072
39.0000	0.9215	0.2696	0.2722
40.0000	0.9212	0.2725	0.3402
41.0000	0.9324	0.2467	0.3512
42.0000	0.9254	0.2511	0.3242
43.0000	0.9274	0.2596	0.3212
44.0000	0.9270	0.2538	0.3322
45.0000	0.9258	0.2503	0.4463
46.0000	0.9293	0.2497	0.2892
47.0000	0.9253	0.2614	0.2862
48.0000	0.9319	0.2486	0.3042
49.0000	0.9294	0.2463	0.2702
0.0000	0.3933	2.1462	0.2652
1.0000	0.6640	1.5929	0.2882
2.0000	0.7673	1.0892	0.2712
3.0000	0.8162	0.8222	0.2692
4.0000	0.8430	0.6774	0.2872
5.0000	0.8552	0.5907	0.3252
6.0000	0.8692	0.5222	0.3342
7.0000	0.8742	0.4940	0.3292
8.0000	0.8811	0.4626	0.3262
9.0000	0.8810	0.4431	0.3362
10.0000	0.8903	0.4118	0.3062
11.0000	0.8878	0.4118	0.3442
12.0000	0.8940	0.3849	0.3002
0.0000	0.3761	2.1595	0.2542
1.0000	0.6585	1.6202	0.2702
2.0000	0.7701	1.1045	0.2702
3.0000	0.8168	0.8280	0.2672
4.0000	0.8430	0.6822	0.3132
5.0000	0.8582	0.5929	0.2622
6.0000	0.8693	0.5245	0.2732
7.0000	0.8735	0.4953	0.3292
8.0000	0.8816	0.4649	0.3392
9.0000	0.8826	0.4435	0.3643
10.0000	0.8916	0.4129	0.3192
11.0000	0.8902	0.4112	0.3202
12.0000	0.8954	0.3854	0.3082
13.0000	0.8948	0.3838	0.2892
14.0000	0.9003	0.3680	0.3132
15.0000	0.8993	0.3560	0.2862
16.0000	0.9003	0.3581	0.2772
17.0000	0.9054	0.3419	0.2662
18.0000	0.8993	0.3526	0.2812
19.0000	0.9042	0.3403	0.2602
20.0000	0.9045	0.3399	0.2672
21.0000	0.9130	0.3171	0.2642
22.0000	0.9124	0.3098	0.2632
23.0000	0.9086	0.3157	0.2632
24.0000	0.9106	0.3106	0.2612
25.0000	0.9126	0.3073	0.3042
26.0000	0.9141	0.3046	0.2642
27.0000	0.9166	0.2925	0.2822
28.0000	0.9156	0.2950	0.2812
29.0000	0.9151	0.2977	0.3252
30.0000	0.9104	0.3088	0.3432
