current_epoch	train_acc	train_loss	epoch_train_time
0.0000	0.1058	2.3049	0.1731
1.0000	0.1046	2.3035	0.1951
2.0000	0.1051	2.3018	0.1811
3.0000	0.1058	2.2986	0.1861
4.0000	0.1002	2.2985	0.1791
5.0000	0.1043	2.2958	0.1841
6.0000	0.1050	2.2936	0.1811
7.0000	0.1049	2.2928	0.1771
8.0000	0.1108	2.2902	0.1871
9.0000	0.1159	2.2886	0.1851
0.0000	0.0889	2.3047	0.2101
1.0000	0.0933	2.3017	0.2122
2.0000	0.0971	2.2998	0.2011
3.0000	0.1162	2.2984	0.1921
4.0000	0.1462	2.2961	0.1901
5.0000	0.1491	2.2947	0.1921
6.0000	0.1290	2.2932	0.1871
7.0000	0.1147	2.2914	0.1891
8.0000	0.1084	2.2894	0.1991
9.0000	0.1058	2.2877	0.1921
10.0000	0.1013	2.2866	0.1921
11.0000	0.1346	2.2844	0.1881
12.0000	0.1899	2.2825	0.1911
13.0000	0.2146	2.2808	0.1941
14.0000	0.2291	2.2793	0.1871
15.0000	0.2321	2.2775	0.1941
16.0000	0.2376	2.2755	0.1961
17.0000	0.2416	2.2744	0.1881
18.0000	0.2567	2.2720	0.1911
19.0000	0.2631	2.2706	0.1981
0.0000	0.0986	2.3049	0.2011
1.0000	0.1019	2.3028	0.2232
2.0000	0.1346	2.3011	0.2242
3.0000	0.1691	2.2983	0.2192
4.0000	0.1942	2.2967	0.2091
5.0000	0.2259	2.2947	0.2142
6.0000	0.1307	2.2931	0.2142
7.0000	0.1118	2.2918	0.2212
8.0000	0.1131	2.2895	0.2101
9.0000	0.1091	2.2886	0.2101
10.0000	0.1137	2.2874	0.2071
11.0000	0.1183	2.2853	0.2132
12.0000	0.1252	2.2833	0.2152
13.0000	0.1235	2.2812	0.2101
14.0000	0.1274	2.2794	0.2162
15.0000	0.1242	2.2777	0.2111
16.0000	0.1283	2.2757	0.2172
17.0000	0.1402	2.2747	0.2162
18.0000	0.1583	2.2723	0.2192
19.0000	0.1676	2.2707	0.2101
0.0000	0.1015	2.3059	0.2152
1.0000	0.0984	2.3074	0.2232
2.0000	0.0948	2.3080	0.2252
3.0000	0.0958	2.3063	0.2242
4.0000	0.0965	2.3072	0.2142
5.0000	0.0952	2.3060	0.2101
6.0000	0.1000	2.3053	0.2091
7.0000	0.0997	2.3050	0.2182
8.0000	0.0955	2.3047	0.2101
9.0000	0.0974	2.3036	0.2162
10.0000	0.0988	2.3036	0.2111
11.0000	0.0960	2.3046	0.2091
12.0000	0.1006	2.3034	0.2132
13.0000	0.0912	2.3044	0.2142
14.0000	0.0979	2.3033	0.2142
15.0000	0.0970	2.3032	0.2222
16.0000	0.0914	2.3032	0.2132
17.0000	0.1017	2.3019	0.2091
18.0000	0.0940	2.3028	0.2152
19.0000	0.0957	2.3033	0.2112
0.0000	0.1056	2.3042	0.1781
1.0000	0.1108	2.3028	0.2101
2.0000	0.1249	2.2997	0.2202
3.0000	0.1350	2.2985	0.2111
4.0000	0.1415	2.2976	0.2132
5.0000	0.1445	2.2960	0.2041
6.0000	0.1532	2.2937	0.1931
7.0000	0.2087	2.2928	0.1991
8.0000	0.2144	2.2911	0.2061
9.0000	0.1981	2.2900	0.2091
10.0000	0.1998	2.2881	0.1961
11.0000	0.1933	2.2864	0.2011
12.0000	0.1985	2.2852	0.1941
13.0000	0.1935	2.2821	0.1861
14.0000	0.2018	2.2804	0.1921
15.0000	0.1879	2.2794	0.1951
16.0000	0.1892	2.2776	0.1931
17.0000	0.2021	2.2765	0.1911
18.0000	0.2200	2.2741	0.1881
19.0000	0.2238	2.2728	0.1931
20.0000	0.2231	2.2709	0.1961
21.0000	0.2370	2.2683	0.1921
22.0000	0.2468	2.2659	0.1921
23.0000	0.2528	2.2645	0.1961
24.0000	0.2776	2.2618	0.1871
25.0000	0.2954	2.2593	0.1971
26.0000	0.3088	2.2564	0.2061
27.0000	0.3068	2.2549	0.1921
28.0000	0.3300	2.2530	0.2021
29.0000	0.3650	2.2507	0.1891
30.0000	0.3922	2.2477	0.1941
31.0000	0.4103	2.2438	0.1911
32.0000	0.4229	2.2414	0.1971
33.0000	0.4444	2.2391	0.2051
34.0000	0.4638	2.2357	0.1941
35.0000	0.4754	2.2315	0.2001
36.0000	0.4737	2.2282	0.1891
37.0000	0.4726	2.2260	0.1961
38.0000	0.4849	2.2242	0.1931
39.0000	0.5050	2.2195	0.2021
40.0000	0.5128	2.2158	0.2081
41.0000	0.5233	2.2117	0.1961
42.0000	0.5366	2.2076	0.1971
43.0000	0.5395	2.2046	0.1931
44.0000	0.5403	2.2006	0.1911
45.0000	0.5462	2.1967	0.1991
46.0000	0.5592	2.1928	0.1921
47.0000	0.5634	2.1898	0.2021
48.0000	0.5829	2.1848	0.1921
49.0000	0.5908	2.1811	0.1931
0.0000	0.0980	2.3027	0.1951
1.0000	0.1369	2.3012	0.2252
2.0000	0.1420	2.2995	0.2162
3.0000	0.1640	2.2972	0.2152
4.0000	0.1182	2.2954	0.2132
5.0000	0.1143	2.2938	0.2222
6.0000	0.1160	2.2917	0.2172
7.0000	0.1116	2.2906	0.2162
8.0000	0.1124	2.2885	0.2111
9.0000	0.1080	2.2873	0.2172
10.0000	0.1095	2.2862	0.2111
11.0000	0.1149	2.2837	0.2152
12.0000	0.1215	2.2817	0.2312
13.0000	0.1241	2.2796	0.2352
14.0000	0.1327	2.2776	0.2162
15.0000	0.1320	2.2760	0.2132
16.0000	0.1402	2.2738	0.2081
17.0000	0.1573	2.2728	0.2152
18.0000	0.1800	2.2700	0.2132
19.0000	0.1981	2.2684	0.2152
20.0000	0.2273	2.2657	0.2192
21.0000	0.2591	2.2628	0.2112
22.0000	0.2849	2.2604	0.2132
23.0000	0.2943	2.2588	0.2111
24.0000	0.3465	2.2555	0.2101
25.0000	0.3675	2.2527	0.2111
26.0000	0.3871	2.2490	0.2142
27.0000	0.3870	2.2465	0.2112
28.0000	0.4126	2.2444	0.2272
29.0000	0.4532	2.2418	0.2142
30.0000	0.4772	2.2381	0.2081
31.0000	0.4897	2.2333	0.2111
32.0000	0.4970	2.2304	0.2061
33.0000	0.5214	2.2273	0.2132
34.0000	0.5334	2.2233	0.2242
35.0000	0.5387	2.2181	0.2122
36.0000	0.5299	2.2144	0.2121
37.0000	0.5300	2.2115	0.2152
38.0000	0.5464	2.2081	0.2132
39.0000	0.5617	2.2029	0.2192
40.0000	0.5617	2.1982	0.2091
41.0000	0.5744	2.1934	0.2091
42.0000	0.5868	2.1881	0.2081
43.0000	0.5919	2.1844	0.2111
44.0000	0.5877	2.1792	0.2172
45.0000	0.5916	2.1746	0.2122
46.0000	0.6109	2.1692	0.2132
47.0000	0.6121	2.1653	0.2111
48.0000	0.6346	2.1594	0.2152
49.0000	0.6367	2.1547	0.2071
0.0000	0.1026	2.2953	0.2612
1.0000	0.1319	2.2782	0.2712
2.0000	0.2235	2.2563	0.2712
3.0000	0.4411	2.2255	0.2812
4.0000	0.6095	2.1831	0.2832
5.0000	0.6704	2.1308	0.2742
6.0000	0.7103	2.0726	0.2792
7.0000	0.7221	2.0214	0.3132
8.0000	0.7478	1.9748	0.2732
9.0000	0.7601	1.9359	0.2882
10.0000	0.7768	1.9045	0.2742
11.0000	0.7839	1.8793	0.2832
12.0000	0.7901	1.8564	0.2952
13.0000	0.7960	1.8379	0.2772
14.0000	0.7916	1.8196	0.2782
15.0000	0.7914	1.8063	0.2852
16.0000	0.7902	1.7943	0.2832
17.0000	0.8078	1.7828	0.2762
18.0000	0.8080	1.7754	0.2872
19.0000	0.8087	1.7640	0.2802
20.0000	0.8049	1.7576	0.2812
21.0000	0.8221	1.7463	0.2842
22.0000	0.8131	1.7398	0.2782
23.0000	0.8210	1.7332	0.2802
24.0000	0.8240	1.7252	0.3012
25.0000	0.8222	1.7230	0.2732
26.0000	0.8279	1.7164	0.2732
27.0000	0.8311	1.7083	0.2912
28.0000	0.8309	1.7075	0.2782
29.0000	0.8386	1.7042	0.2802
30.0000	0.8273	1.7002	0.2832
31.0000	0.8401	1.6932	0.2792
32.0000	0.8373	1.6917	0.2842
33.0000	0.8358	1.6876	0.2752
34.0000	0.8411	1.6848	0.2752
35.0000	0.8467	1.6806	0.2842
36.0000	0.8504	1.6748	0.2722
37.0000	0.8457	1.6763	0.2902
38.0000	0.8442	1.6737	0.2712
39.0000	0.8442	1.6697	0.2772
40.0000	0.8436	1.6671	0.2842
41.0000	0.8529	1.6606	0.2852
42.0000	0.8533	1.6592	0.2742
43.0000	0.8517	1.6631	0.2842
44.0000	0.8535	1.6583	0.2762
45.0000	0.8589	1.6562	0.2782
46.0000	0.8573	1.6537	0.2922
47.0000	0.8540	1.6543	0.2782
48.0000	0.8597	1.6498	0.2762
49.0000	0.8597	1.6491	0.2822
